Year,Population,SIM
01/01/2022,4262,69
01/01/2023,4176,69
01/01/2024,4100,69
01/01/2025,4028,69
01/01/2026,3951,69
01/01/2027,3877,69
01/01/2028,3807,69
01/01/2029,3727,69
01/01/2030,3657,69
01/01/2031,3577,69
01/01/2017,4593,70
01/01/2018,4522,70
01/01/2019,4454,70
01/01/2020,4390,70
01/01/2021,4318,70
01/01/2022,4235,70
01/01/2023,4167,70
01/01/2024,4108,70
01/01/2025,4036,70
01/01/2026,3961,70
01/01/2027,3903,70
01/01/2028,3837,70
01/01/2029,3771,70
01/01/2030,3697,70
01/01/2031,3624,70
01/01/2017,4599,71
01/01/2018,4536,71
01/01/2019,4474,71
01/01/2020,4413,71
01/01/2021,4345,71
01/01/2022,4269,71
01/01/2023,4207,71
01/01/2024,4149,71
01/01/2025,4065,71
01/01/2026,3998,71
01/01/2027,3928,71
01/01/2028,3852,71
01/01/2029,3789,71
01/01/2030,3730,71
01/01/2031,3652,71
01/01/2017,4605,72
01/01/2018,4532,72
01/01/2019,4471,72
01/01/2020,4406,72
01/01/2021,4337,72
01/01/2022,4275,72
01/01/2023,4194,72
01/01/2024,4129,72
01/01/2025,4052,72
01/01/2026,3999,72
01/01/2027,3917,72
01/01/2028,3842,72
01/01/2029,3758,72
01/01/2030,3689,72
01/01/2031,3602,72
01/01/2017,4608,73
01/01/2018,4538,73
01/01/2019,4471,73
01/01/2020,4400,73
01/01/2021,4330,73
01/01/2022,4256,73
01/01/2023,4194,73
01/01/2024,4089,73
01/01/2025,4035,73
01/01/2026,3968,73
01/01/2027,3894,73
01/01/2028,3813,73
01/01/2029,3731,73
01/01/2030,3653,73
01/01/2031,3600,73
01/01/2017,4599,74
01/01/2018,4522,74
01/01/2019,4436,74
01/01/2020,4360,74
01/01/2021,4289,74
01/01/2022,4227,74
01/01/2023,4162,74
01/01/2024,4097,74
01/01/2025,4035,74
01/01/2026,3960,74
01/01/2027,3888,74
01/01/2028,3819,74
01/01/2029,3744,74
01/01/2030,3670,74
01/01/2031,3582,74
01/01/2017,4601,75
01/01/2018,4543,75
01/01/2019,4475,75
01/01/2020,4418,75
01/01/2021,4332,75
01/01/2022,4253,75
01/01/2023,4168,75
01/01/2024,4101,75
01/01/2025,4035,75
01/01/2026,3957,75
01/01/2027,3889,75
01/01/2028,3810,75
01/01/2029,3732,75
01/01/2030,3654,75
01/01/2031,3589,75
01/01/2017,4596,76
01/01/2018,4528,76
01/01/2019,4457,76
01/01/2020,4389,76
01/01/2021,4321,76
01/01/2022,4259,76
01/01/2023,4198,76
01/01/2024,4112,76
01/01/2025,4036,76
01/01/2026,3960,76
01/01/2027,3888,76
01/01/2028,3802,76
01/01/2029,3730,76
01/01/2030,3662,76
01/01/2031,3590,76
01/01/2017,4595,77
01/01/2018,4522,77
01/01/2019,4447,77
01/01/2020,4379,77
01/01/2021,4303,77
01/01/2022,4225,77
01/01/2023,4148,77
01/01/2024,4079,77
01/01/2025,4005,77
01/01/2026,3923,77
01/01/2027,3844,77
01/01/2028,3775,77
01/01/2029,3699,77
01/01/2030,3636,77
01/01/2031,3568,77
01/01/2017,4599,78
01/01/2018,4535,78
01/01/2019,4455,78
01/01/2020,4382,78
01/01/2021,4318,78
01/01/2022,4252,78
01/01/2023,4187,78
01/01/2024,4110,78
