Age,Age_Bands,Area,Gender,Population
4,0 - 4,Orkney Islands,Male,127
4,0 - 4,Perth and Kinross,Male,784
4,0 - 4,Renfrewshire,Male,993
4,0 - 4,Scottish Borders,Male,609
4,0 - 4,Shetland Islands,Male,142
4,0 - 4,South Ayrshire,Male,513
4,0 - 4,South Lanarkshire,Male,1912
4,0 - 4,Stirling,Male,475
4,0 - 4,West Dunbartonshire,Male,555
4,0 - 4,West Lothian,Male,1179
4,0 - 4,Aberdeen City,Female,1201
4,0 - 4,Aberdeenshire,Female,1509
4,0 - 4,Angus,Female,603
4,0 - 4,Argyll and Bute,Female,447
4,0 - 4,City of Edinburgh,Female,2589
4,0 - 4,Clackmannanshire,Female,298
4,0 - 4,Dumfries and Galloway,Female,703
4,0 - 4,Dundee City,Female,854
4,0 - 4,East Ayrshire,Female,699
4,0 - 4,East Dunbartonshire,Female,533
4,0 - 4,East Lothian,Female,622
4,0 - 4,East Renfrewshire,Female,576
4,0 - 4,Falkirk,Female,918
4,0 - 4,Fife,Female,1995
4,0 - 4,Glasgow City,Female,3425
4,0 - 4,Highland,Female,1189
4,0 - 4,Inverclyde,Female,363
4,0 - 4,Midlothian,Female,569
4,0 - 4,Moray,Female,484
4,0 - 4,Na h-Eileanan Siar,Female,114
4,0 - 4,North Ayrshire,Female,722
4,0 - 4,North Lanarkshire,Female,1890
4,0 - 4,Orkney Islands,Female,92
4,0 - 4,Perth and Kinross,Female,731
4,0 - 4,Renfrewshire,Female,964
4,0 - 4,Scottish Borders,Female,602
4,0 - 4,Shetland Islands,Female,123
4,0 - 4,South Ayrshire,Female,558
4,0 - 4,South Lanarkshire,Female,1657
4,0 - 4,Stirling,Female,482
4,0 - 4,West Dunbartonshire,Female,493
4,0 - 4,West Lothian,Female,1028
5,5 - 9,Aberdeen City,Male,1210
5,5 - 9,Aberdeenshire,Male,1710
5,5 - 9,Angus,Male,612
5,5 - 9,Argyll and Bute,Male,441
5,5 - 9,City of Edinburgh,Male,2844
5,5 - 9,Clackmannanshire,Male,277
5,5 - 9,Dumfries and Galloway,Male,780
5,5 - 9,Dundee City,Male,857
5,5 - 9,East Ayrshire,Male,724
5,5 - 9,East Dunbartonshire,Male,673
5,5 - 9,East Lothian,Male,673
5,5 - 9,East Renfrewshire,Male,675
5,5 - 9,Falkirk,Male,977
5,5 - 9,Fife,Male,2274
5,5 - 9,Glasgow City,Male,3518
5,5 - 9,Highland,Male,1305
5,5 - 9,Inverclyde,Male,446
5,5 - 9,Midlothian,Male,525
5,5 - 9,Moray,Male,572
5,5 - 9,Na h-Eileanan Siar,Male,138
5,5 - 9,North Ayrshire,Male,766
5,5 - 9,North Lanarkshire,Male,2074
5,5 - 9,Orkney Islands,Male,113
5,5 - 9,Perth and Kinross,Male,822
5,5 - 9,Renfrewshire,Male,950
5,5 - 9,Scottish Borders,Male,662
5,5 - 9,Shetland Islands,Male,158
5,5 - 9,South Ayrshire,Male,622
5,5 - 9,South Lanarkshire,Male,1841
5,5 - 9,Stirling,Male,481
5,5 - 9,West Dunbartonshire,Male,559
5,5 - 9,West Lothian,Male,1254
5,5 - 9,Aberdeen City,Female,1155
5,5 - 9,Aberdeenshire,Female,1589
5,5 - 9,Angus,Female,604
5,5 - 9,Argyll and Bute,Female,407
5,5 - 9,City of Edinburgh,Female,2799
5,5 - 9,Clackmannanshire,Female,288
5,5 - 9,Dumfries and Galloway,Female,776
5,5 - 9,Dundee City,Female,768
5,5 - 9,East Ayrshire,Female,706
5,5 - 9,East Dunbartonshire,Female,633
5,5 - 9,East Lothian,Female,646
5,5 - 9,East Renfrewshire,Female,619
5,5 - 9,Falkirk,Female,873
5,5 - 9,Fife,Female,2147
5,5 - 9,Glasgow City,Female,3415
5,5 - 9,Highland,Female,1233
5,5 - 9,Inverclyde,Female,390
5,5 - 9,Midlothian,Female,586
5,5 - 9,Moray,Female,504
5,5 - 9,Na h-Eileanan Siar,Female,121
5,5 - 9,North Ayrshire,Female,776
5,5 - 9,North Lanarkshire,Female,2032
5,5 - 9,Orkney Islands,Female,122
5,5 - 9,Perth and Kinross,Female,767
5,5 - 9,Renfrewshire,Female,1020
5,5 - 9,Scottish Borders,Female,551
5,5 - 9,Shetland Islands,Female,133
5,5 - 9,South Ayrshire,Female,569
5,5 - 9,South Lanarkshire,Female,1811
5,5 - 9,Stirling,Female,464
5,5 - 9,West Dunbartonshire,Female,517
5,5 - 9,West Lothian,Female,1141
6,5 - 9,Aberdeen City,Male,1158
