Year,Age,Gender,Pop_Count_Projection,SIM,Pop_Count_Reference,index_col
2018,46,Female,19.0,0,32,Female46
2018,47,Female,27.0,0,32,Female47
2018,48,Female,32.0,0,56,Female48
2018,49,Female,32.0,0,37,Female49
2018,50,Female,56.0,0,54,Female50
2018,51,Female,37.0,0,36,Female51
2018,52,Female,54.0,0,29,Female52
2018,53,Female,36.0,0,39,Female53
2018,54,Female,29.0,0,35,Female54
2018,55,Female,39.0,0,28,Female55
2018,56,Female,35.0,0,42,Female56
2018,57,Female,28.0,0,49,Female57
2018,58,Female,42.0,0,31,Female58
2018,59,Female,48.0,0,38,Female59
2018,60,Female,31.0,0,31,Female60
2018,61,Female,38.0,0,36,Female61
2018,62,Female,30.0,0,29,Female62
2018,63,Female,36.0,0,44,Female63
2018,64,Female,28.0,0,43,Female64
2018,65,Female,44.0,0,40,Female65
2018,66,Female,42.0,0,42,Female66
2018,67,Female,40.0,0,36,Female67
2018,68,Female,42.0,0,30,Female68
2018,69,Female,36.0,0,38,Female69
2018,70,Female,28.0,0,35,Female70
2018,71,Female,38.0,0,23,Female71
2018,72,Female,34.0,0,32,Female72
2018,73,Female,23.0,0,30,Female73
2018,74,Female,30.0,0,13,Female74
2018,75,Female,27.0,0,29,Female75
2018,76,Female,12.0,0,22,Female76
2018,77,Female,27.0,0,23,Female77
2018,78,Female,19.0,0,27,Female78
2018,79,Female,23.0,0,20,Female79
2018,80,Female,24.0,0,14,Female80
2018,81,Female,18.0,0,14,Female81
2018,82,Female,13.0,0,14,Female82
2018,83,Female,13.0,0,23,Female83
2018,84,Female,14.0,0,15,Female84
2018,85,Female,21.0,0,13,Female85
2018,86,Female,15.0,0,11,Female86
2018,87,Female,10.0,0,9,Female87
2018,88,Female,8.0,0,14,Female88
2018,89,Female,7.0,0,3,Female89
2018,90+,Female,31.0,0,39,Female90+
2018,0,Male,0.0,0,24,Male0
2018,1,Male,0.0,0,13,Male1
2018,2,Male,24.0,0,22,Male2
2018,3,Male,13.0,0,16,Male3
2018,4,Male,22.0,0,19,Male4
2018,5,Male,16.0,0,25,Male5
2018,6,Male,19.0,0,37,Male6
2018,7,Male,25.0,0,23,Male7
2018,8,Male,37.0,0,26,Male8
2018,9,Male,23.0,0,30,Male9
2018,10,Male,26.0,0,34,Male10
2018,11,Male,30.0,0,27,Male11
2018,12,Male,34.0,0,30,Male12
2018,13,Male,27.0,0,24,Male13
2018,14,Male,30.0,0,19,Male14
2018,15,Male,24.0,0,23,Male15
2018,16,Male,19.0,0,18,Male16
2018,17,Male,23.0,0,33,Male17
2018,18,Male,18.0,0,27,Male18
2018,19,Male,33.0,0,17,Male19
2018,20,Male,27.0,0,24,Male20
2018,21,Male,17.0,0,29,Male21
2018,22,Male,24.0,0,22,Male22
2018,23,Male,29.0,0,12,Male23
2018,24,Male,22.0,0,20,Male24
2018,25,Male,12.0,0,12,Male25
2018,26,Male,20.0,0,23,Male26
2018,27,Male,12.0,0,25,Male27
2018,28,Male,23.0,0,28,Male28
2018,29,Male,25.0,0,24,Male29
2018,30,Male,28.0,0,18,Male30
2018,31,Male,24.0,0,14,Male31
2018,32,Male,18.0,0,21,Male32
2018,33,Male,14.0,0,19,Male33
2018,34,Male,21.0,0,14,Male34
2018,35,Male,19.0,0,18,Male35
2018,36,Male,13.0,0,18,Male36
2018,37,Male,18.0,0,23,Male37
2018,38,Male,18.0,0,16,Male38
2018,39,Male,23.0,0,24,Male39
2018,40,Male,16.0,0,23,Male40
2018,41,Male,24.0,0,25,Male41
2018,42,Male,23.0,0,22,Male42
2018,43,Male,25.0,0,32,Male43
2018,44,Male,22.0,0,31,Male44
2018,45,Male,32.0,0,36,Male45
2018,46,Male,31.0,0,32,Male46
2018,47,Male,36.0,0,31,Male47
2018,48,Male,32.0,0,45,Male48
2018,49,Male,31.0,0,32,Male49
2018,50,Male,45.0,0,32,Male50
2018,51,Male,31.0,0,41,Male51
2018,52,Male,32.0,0,27,Male52
2018,53,Male,41.0,0,42,Male53
2018,54,Male,27.0,0,35,Male54
2018,55,Male,42.0,0,38,Male55
2018,56,Male,35.0,0,51,Male56
2018,57,Male,36.0,0,40,Male57
2018,58,Male,50.0,0,49,Male58
2018,59,Male,40.0,0,49,Male59
2018,60,Male,49.0,0,29,Male60
2018,61,Male,49.0,0,39,Male61
2018,62,Male,29.0,0,30,Male62
2018,63,Male,39.0,0,40,Male63
2018,64,Male,30.0,0,38,Male64
2018,65,Male,39.0,0,39,Male65
2018,66,Male,37.0,0,31,Male66
2018,67,Male,37.0,0,29,Male67
2018,68,Male,30.0,0,43,Male68
2018,69,Male,29.0,0,48,Male69
2018,70,Male,42.0,0,42,Male70
2018,71,Male,46.0,0,20,Male71
2018,72,Male,41.0,0,29,Male72
2018,73,Male,20.0,0,21,Male73
2018,74,Male,25.0,0,17,Male74
2018,75,Male,18.0,0,19,Male75
2018,76,Male,16.0,0,23,Male76
2018,77,Male,14.0,0,20,Male77
2018,78,Male,20.0,0,15,Male78
2018,79,Male,18.0,0,19,Male79
2018,80,Male,12.0,0,14,Male80
2018,81,Male,15.0,0,16,Male81
2018,82,Male,10.0,0,8,Male82
2018,83,Male,12.0,0,11,Male83
2018,84,Male,6.0,0,7,Male84
2018,85,Male,8.0,0,8,Male85
2018,86,Male,7.0,0,6,Male86
2018,87,Male,8.0,0,3,Male87
2018,88,Male,4.0,0,13,Male88
2018,89,Male,3.0,0,4,Male89
2018,90+,Male,20.0,0,17,Male90+
2019,0,Female,0.0,0,21,Female0
2019,1,Female,0.0,0,25,Female1
2019,2,Female,0.0,0,14,Female2
2019,3,Female,21.0,0,29,Female3
2019,4,Female,25.0,0,19,Female4
2019,5,Female,14.0,0,18,Female5
2019,6,Female,29.0,0,25,Female6
2019,7,Female,19.0,0,29,Female7
2019,8,Female,18.0,0,16,Female8
2019,9,Female,25.0,0,29,Female9
2019,10,Female,29.0,0,30,Female10
2019,11,Female,16.0,0,20,Female11
2019,12,Female,29.0,0,25,Female12
2019,13,Female,30.0,0,27,Female13
2019,14,Female,20.0,0,17,Female14
2019,15,Female,25.0,0,35,Female15
2019,16,Female,27.0,0,12,Female16
2019,17,Female,17.0,0,20,Female17
2019,18,Female,35.0,0,20,Female18
2019,19,Female,12.0,0,16,Female19
2019,20,Female,20.0,0,20,Female20
2019,21,Female,20.0,0,14,Female21
2019,22,Female,16.0,0,16,Female22
2019,23,Female,20.0,0,20,Female23
2019,24,Female,14.0,0,17,Female24
2019,25,Female,16.0,0,18,Female25
2019,26,Female,20.0,0,14,Female26
2019,27,Female,17.0,0,31,Female27
2019,28,Female,18.0,0,26,Female28
2019,29,Female,14.0,0,15,Female29
2019,30,Female,31.0,0,20,Female30
2019,31,Female,26.0,0,16,Female31
2019,32,Female,15.0,0,19,Female32
2019,33,Female,20.0,0,22,Female33
2019,34,Female,16.0,0,22,Female34
2019,35,Female,19.0,0,31,Female35
2019,36,Female,22.0,0,27,Female36
2019,37,Female,22.0,0,33,Female37
2019,38,Female,31.0,0,21,Female38
2019,39,Female,27.0,0,29,Female39
2019,40,Female,33.0,0,32,Female40
2019,41,Female,21.0,0,25,Female41
2019,42,Female,28.0,0,28,Female42
2019,43,Female,32.0,0,37,Female43
2019,44,Female,24.0,0,20,Female44
2019,45,Female,28.0,0,27,Female45
2019,46,Female,37.0,0,32,Female46
2019,47,Female,19.0,0,32,Female47
2019,48,Female,26.0,0,56,Female48
2019,49,Female,32.0,0,37,Female49
2019,50,Female,32.0,0,54,Female50
2019,51,Female,56.0,0,36,Female51
2019,52,Female,37.0,0,29,Female52
2019,53,Female,54.0,0,39,Female53
2019,54,Female,36.0,0,35,Female54
2019,55,Female,29.0,0,28,Female55
2019,56,Female,39.0,0,42,Female56
2019,57,Female,35.0,0,49,Female57
2019,58,Female,28.0,0,31,Female58
2019,59,Female,42.0,0,38,Female59
2019,60,Female,48.0,0,31,Female60
2019,61,Female,31.0,0,36,Female61
2019,62,Female,38.0,0,29,Female62
2019,63,Female,30.0,0,44,Female63
2019,64,Female,35.0,0,43,Female64
2019,65,Female,28.0,0,40,Female65
2019,66,Female,44.0,0,42,Female66
2019,67,Female,41.0,0,36,Female67
2019,68,Female,40.0,0,30,Female68
2019,69,Female,41.0,0,38,Female69
2019,70,Female,35.0,0,35,Female70
2019,71,Female,27.0,0,23,Female71
