Age,Gender,Pop_Count_Projection,SIM,Year,Pop_Count_Reference,index_col
4,Male,22,0,2018,19,Male4
5,Male,16,0,2018,25,Male5
6,Male,19,0,2018,37,Male6
7,Male,25,0,2018,23,Male7
8,Male,37,0,2018,26,Male8
9,Male,23,0,2018,30,Male9
10,Male,26,0,2018,34,Male10
11,Male,30,0,2018,27,Male11
12,Male,34,0,2018,30,Male12
13,Male,27,0,2018,24,Male13
14,Male,30,0,2018,19,Male14
15,Male,24,0,2018,23,Male15
16,Male,19,0,2018,18,Male16
17,Male,23,0,2018,33,Male17
18,Male,18,0,2018,27,Male18
19,Male,33,0,2018,17,Male19
20,Male,26,0,2018,24,Male20
21,Male,17,0,2018,29,Male21
22,Male,24,0,2018,22,Male22
23,Male,29,0,2018,12,Male23
24,Male,22,0,2018,20,Male24
25,Male,12,0,2018,12,Male25
26,Male,20,0,2018,23,Male26
27,Male,12,0,2018,25,Male27
28,Male,23,0,2018,28,Male28
29,Male,25,0,2018,24,Male29
30,Male,27,0,2018,18,Male30
31,Male,24,0,2018,14,Male31
32,Male,18,0,2018,21,Male32
33,Male,14,0,2018,19,Male33
34,Male,21,0,2018,14,Male34
35,Male,19,0,2018,18,Male35
36,Male,14,0,2018,18,Male36
37,Male,18,0,2018,23,Male37
38,Male,17,0,2018,16,Male38
39,Male,23,0,2018,24,Male39
40,Male,16,0,2018,23,Male40
41,Male,24,0,2018,25,Male41
42,Male,23,0,2018,22,Male42
43,Male,25,0,2018,32,Male43
44,Male,21,0,2018,31,Male44
45,Male,32,0,2018,36,Male45
46,Male,31,0,2018,32,Male46
47,Male,35,0,2018,31,Male47
48,Male,32,0,2018,45,Male48
49,Male,31,0,2018,32,Male49
50,Male,44,0,2018,32,Male50
51,Male,30,0,2018,41,Male51
52,Male,31,0,2018,27,Male52
53,Male,41,0,2018,42,Male53
54,Male,27,0,2018,35,Male54
55,Male,42,0,2018,38,Male55
56,Male,33,0,2018,51,Male56
57,Male,38,0,2018,40,Male57
58,Male,51,0,2018,49,Male58
59,Male,39,0,2018,49,Male59
60,Male,48,0,2018,29,Male60
61,Male,47,0,2018,39,Male61
62,Male,28,0,2018,30,Male62
63,Male,34,0,2018,40,Male63
64,Male,30,0,2018,38,Male64
65,Male,40,0,2018,39,Male65
66,Male,38,0,2018,31,Male66
67,Male,39,0,2018,29,Male67
68,Male,31,0,2018,43,Male68
69,Male,29,0,2018,48,Male69
70,Male,41,0,2018,42,Male70
71,Male,45,0,2018,20,Male71
72,Male,38,0,2018,29,Male72
73,Male,18,0,2018,21,Male73
74,Male,26,0,2018,17,Male74
75,Male,20,0,2018,19,Male75
76,Male,17,0,2018,23,Male76
77,Male,15,0,2018,20,Male77
