Age,Gender,Reference,Year,Population
31,Male,34774,2019,36851
32,Male,33786,2019,35459
33,Male,34032,2019,35344
34,Male,34246,2019,34643
35,Male,34347,2019,33649
36,Male,33701,2019,33882
37,Male,32926,2019,34083
38,Male,30125,2019,34171
39,Male,30169,2019,33513
40,Male,31504,2019,32729
41,Male,31398,2019,29931
42,Male,32214,2019,29960
43,Male,34054,2019,31273
44,Male,35759,2019,31153
45,Male,36884,2019,31950
46,Male,36481,2019,33760
47,Male,37985,2019,35435
48,Male,38668,2019,36533
49,Male,39404,2019,36115
50,Male,38795,2019,37582
51,Male,40421,2019,38236
52,Male,39547,2019,38936
53,Male,39588,2019,38301
54,Male,39078,2019,39865
55,Male,38031,2019,38955
56,Male,36862,2019,38941
57,Male,36217,2019,38378
58,Male,35210,2019,37284
59,Male,34417,2019,36072
60,Male,33311,2019,35371
61,Male,31726,2019,34314
62,Male,31363,2019,33465
63,Male,30581,2019,32311
64,Male,29425,2019,30691
65,Male,29569,2019,30248
66,Male,29668,2019,29389
67,Male,30193,2019,28165
68,Male,30916,2019,28173
69,Male,33121,2019,28121
70,Male,24797,2019,28451
71,Male,22863,2019,28942
72,Male,23308,2019,30782
73,Male,21528,2019,22863
74,Male,19373,2019,20901
75,Male,17496,2019,21115
76,Male,17603,2019,19314
77,Male,16869,2019,17196
78,Male,16115,2019,15345
79,Male,14432,2019,15231
80,Male,13546,2019,14374
81,Male,12469,2019,13497
82,Male,11120,2019,11852
83,Male,9975,2019,10872
84,Male,9091,2019,9737
85,Male,7894,2019,8409
86,Male,6573,2019,7271
87,Male,5635,2019,6363
88,Male,4454,2019,5289
89,Male,3731,2019,4206
90+,Male,12017,2019,13187
0,Female,26819,2020,26559
1,Female,27567,2020,26601
2,Female,27788,2020,26608
3,Female,28504,2020,25861
4,Female,29033,2020,26794
5,Female,30162,2020,27556
6,Female,28855,2020,27781
7,Female,29683,2020,28498
8,Female,29598,2020,29027
9,Female,28272,2020,30157
10,Female,27796,2020,28851
11,Female,27257,2020,29679
12,Female,26739,2020,29593
13,Female,26167,2020,28266
14,Female,26038,2020,27788
15,Female,27243,2020,27247
16,Female,27563,2020,26727
17,Female,28702,2020,26153
18,Female,29789,2020,26022
19,Female,32749,2020,27224
20,Female,33871,2020,27541
21,Female,34923,2020,28678
22,Female,36314,2020,29762
23,Female,37631,2020,32718
24,Female,39540,2020,33839
25,Female,38982,2020,34888
26,Female,37498,2020,36275
27,Female,37318,2020,37588
28,Female,37556,2020,39489
29,Female,36621,2020,38927
30,Female,36099,2020,37437
31,Female,36312,2020,37250
32,Female,35089,2020,37480
33,Female,35723,2020,36540
34,Female,36385,2020,36010
35,Female,35753,2020,36215
36,Female,34995,2020,34988
37,Female,33471,2020,35611
38,Female,31663,2020,36263
39,Female,30603,2020,35625
40,Female,32622,2020,34859
41,Female,33160,2020,33332
42,Female,33272,2020,31521
43,Female,35532,2020,30455
44,Female,38123,2020,32451
45,Female,39905,2020,32973
46,Female,39222,2020,33068
47,Female,40801,2020,35295
48,Female,41543,2020,37846
49,Female,41358,2020,39589
50,Female,41391,2020,38881
51,Female,42646,2020,40411
52,Female,42441,2020,41112
53,Female,42060,2020,40892
54,Female,40724,2020,40887
55,Female,39939,2020,42085
56,Female,38427,2020,41835
57,Female,38397,2020,41406
58,Female,37263,2020,40036
59,Female,36058,2020,39206
60,Female,34941,2020,37665
61,Female,33606,2020,37576
62,Female,33002,2020,36404
63,Female,32395,2020,35157
64,Female,31202,2020,33990
65,Female,31507,2020,32608
66,Female,31414,2020,31928
67,Female,32127,2020,31233
68,Female,33103,2020,29964
69,Female,35906,2020,30119
70,Female,26974,2020,29880
71,Female,25687,2020,30383
72,Female,25970,2020,31108
73,Female,25265,2020,33505
74,Female,23254,2020,24975
75,Female,21636,2020,23582
76,Female,21833,2020,23617
77,Female,21118,2020,22731
78,Female,20348,2020,20667
79,Female,19396,2020,18966
80,Female,18453,2020,18840
81,Female,17214,2020,17900
82,Female,15965,2020,16899
83,Female,14544,2020,15733
84,Female,14041,2020,14564
85,Female,12678,2020,13162
86,Female,11277,2020,11764
87,Female,9897,2020,10269
88,Female,8421,2020,9448
89,Female,7418,2020,8082
90+,Female,29050,2020,30227
0,Male,28697,2020,27880
1,Male,29017,2020,27920
2,Male,29377,2020,27927
3,Male,29728,2020,27141
4,Male,30708,2020,28664
5,Male,31533,2020,29002
6,Male,29946,2020,29366
7,Male,30653,2020,29718
8,Male,30586,2020,30698
9,Male,29574,2020,31523
10,Male,28838,2020,29937
11,Male,28885,2020,30644
12,Male,28344,2020,30578
13,Male,27231,2020,29565
14,Male,27083,2020,28828
15,Male,28196,2020,28871
16,Male,29300,2020,28327
17,Male,30279,2020,27210
18,Male,31162,2020,27057
19,Male,33677,2020,28162
20,Male,34653,2020,29256
21,Male,35175,2020,30226
22,Male,36261,2020,31101
23,Male,36791,2020,33605
24,Male,38808,2020,34576
25,Male,39073,2020,35094
26,Male,37445,2020,36176
27,Male,37102,2020,36701
28,Male,36957,2020,38706
29,Male,35572,2020,38961
30,Male,35467,2020,37326
31,Male,34774,2020,36970
32,Male,33786,2020,36811
33,Male,34032,2020,35417
34,Male,34246,2020,35298
35,Male,34347,2020,34594
36,Male,33701,2020,33597
37,Male,32926,2020,33826
38,Male,30125,2020,34022
39,Male,30169,2020,34105
40,Male,31504,2020,33443
41,Male,31398,2020,32655
42,Male,32214,2020,29859
43,Male,34054,2020,29884
44,Male,35759,2020,31189
45,Male,36884,2020,31065
46,Male,36481,2020,31856
47,Male,37985,2020,33656
48,Male,38668,2020,35320
49,Male,39404,2020,36409
50,Male,38795,2020,35985
51,Male,40421,2020,37439
52,Male,39547,2020,38081
53,Male,39588,2020,38766
54,Male,39078,2020,38119
55,Male,38031,2020,39658
56,Male,36862,2020,38733
57,Male,36217,2020,38698
58,Male,35210,2020,38117
59,Male,34417,2020,37008
60,Male,33311,2020,35780
61,Male,31726,2020,35060
62,Male,31363,2020,33987
63,Male,30581,2020,33119
64,Male,29425,2020,31946
65,Male,29569,2020,30311
66,Male,29668,2020,29836
67,Male,30193,2020,28946
68,Male,30916,2020,27694
69,Male,33121,2020,27651
70,Male,24797,2020,27543
71,Male,22863,2020,27801
72,Male,23308,2020,28208
73,Male,21528,2020,29920
74,Male,19373,2020,22158
75,Male,17496,2020,20193
76,Male,17603,2020,20330
77,Male,16869,2020,18525
78,Male,16115,2020,16422
79,Male,14432,2020,14582
80,Male,13546,2020,14396
81,Male,12469,2020,13502
82,Male,11120,2020,12587
83,Male,9975,2020,10959
84,Male,9091,2020,9950
85,Male,7894,2020,8806
86,Male,6573,2020,7505
87,Male,5635,2020,6398
88,Male,4454,2020,5514
89,Male,3731,2020,4512
90+,Male,12017,2020,13729
0,Female,26819,2021,26474
1,Female,27567,2021,26545
2,Female,27788,2021,26596
3,Female,28504,2021,26606
4,Female,29033,2021,25859
5,Female,30162,2021,26793
6,Female,28855,2021,27555
7,Female,29683,2021,27780
8,Female,29598,2021,28497
9,Female,28272,2021,29026
10,Female,27796,2021,30156
11,Female,27257,2021,28850
12,Female,26739,2021,29677
13,Female,26167,2021,29591
14,Female,26038,2021,28263
15,Female,27243,2021,27785
16,Female,27563,2021,27243
17,Female,28702,2021,26723
18,Female,29789,2021,26148
19,Female,32749,2021,26017
20,Female,33871,2021,27218
21,Female,34923,2021,27535
22,Female,36314,2021,28672
23,Female,37631,2021,29755
24,Female,39540,2021,32710
25,Female,38982,2021,33830
26,Female,37498,2021,34878
27,Female,37318,2021,36263
28,Female,37556,2021,37574
29,Female,36621,2021,39473
30,Female,36099,2021,38909
31,Female,36312,2021,37417
32,Female,35089,2021,37228
33,Female,35723,2021,37456
34,Female,36385,2021,36515
35,Female,35753,2021,35983
36,Female,34995,2021,36186
37,Female,33471,2021,34958
38,Female,31663,2021,35578
39,Female,30603,2021,36227
40,Female,32622,2021,35588
41,Female,33160,2021,34820
42,Female,33272,2021,33291
43,Female,35532,2021,31479
44,Female,38123,2021,30412
45,Female,39905,2021,32401
46,Female,39222,2021,32918
47,Female,40801,2021,33008
48,Female,41543,2021,35224
49,Female,41358,2021,37762
50,Female,41391,2021,39493
51,Female,42646,2021,38779
52,Female,42441,2021,40296
53,Female,42060,2021,40987
54,Female,40724,2021,40758
55,Female,39939,2021,40741
56,Female,38427,2021,41921
57,Female,38397,2021,41658
58,Female,37263,2021,41216
59,Female,36058,2021,39839
60,Female,34941,2021,38998
61,Female,33606,2021,37449
62,Female,33002,2021,37342
63,Female,32395,2021,36158
64,Female,31202,2021,34897
65,Female,31507,2021,33714
66,Female,31414,2021,32315
67,Female,32127,2021,31609
68,Female,33103,2021,30884
69,Female,35906,2021,29592
70,Female,26974,2021,29702
71,Female,25687,2021,29418
72,Female,25970,2021,29860
73,Female,25265,2021,30513
74,Female,23254,2021,32793
75,Female,21636,2021,24384
76,Female,21833,2021,22961
77,Female,21118,2021,22923
78,Female,20348,2021,21984
79,Female,19396,2021,19909
80,Female,18453,2021,18188
81,Female,17214,2021,17973
82,Female,15965,2021,16975
83,Female,14544,2021,15914
